date,hour,bursts,raw_groups,samples,row_type
2003-10-27,5.0,1,1,6892,hourly
2003-10-27,6.0,0,1,36002,hourly
2003-10-27,7.0,1,1,35996,hourly
2003-10-27,8.0,1,1,36002,hourly
2003-10-27,9.0,5,13,36005,hourly
2003-10-27,10.0,246,387,35991,hourly
2003-10-27,11.0,81,115,36005,hourly
2003-10-27,12.0,0,5,36002,hourly
2003-10-27,13.0,1,5,35995,hourly
2003-10-27,14.0,1,8,36002,hourly
2003-10-27,15.0,10,41,25869,hourly
2003-10-27,,347,578,356761,daily_total
2003-10-27,0.0,9,40,0,hourly
2003-10-27,1.0,9,40,0,hourly
2003-10-27,2.0,9,40,0,hourly
2003-10-27,3.0,9,40,0,hourly
2003-10-27,4.0,9,40,0,hourly
2003-10-27,5.0,9,40,0,hourly
2003-10-27,6.0,9,40,0,hourly
2003-10-27,7.0,9,40,0,hourly
2003-10-27,8.0,9,40,0,hourly
2003-10-27,9.0,9,40,0,hourly
2003-10-27,10.0,9,40,0,hourly
2003-10-27,11.0,9,40,0,hourly
2003-10-27,12.0,9,40,0,hourly
2003-10-27,13.0,9,40,0,hourly
2003-10-27,14.0,9,40,0,hourly
2003-10-27,15.0,9,40,0,hourly
2003-10-27,16.0,9,40,0,hourly
2003-10-27,17.0,9,40,0,hourly
2003-10-27,18.0,9,40,0,hourly
2003-10-27,19.0,9,40,0,hourly
2003-10-27,20.0,9,40,0,hourly
2003-10-27,21.0,9,40,0,hourly
2003-10-27,22.0,9,40,0,hourly
2003-10-27,23.0,9,40,0,hourly
2003-10-27,,216,960,0,daily_total
2003-10-27,0,9,39,0,hourly
2003-10-27,1,9,39,0,hourly
2003-10-27,2,9,39,0,hourly
2003-10-27,3,9,39,0,hourly
2003-10-27,4,9,39,0,hourly
2003-10-27,5,9,39,0,hourly
2003-10-27,6,9,39,0,hourly
2003-10-27,7,9,39,0,hourly
2003-10-27,8,9,39,0,hourly
2003-10-27,9,9,39,0,hourly
2003-10-27,10,9,39,0,hourly
2003-10-27,11,9,39,0,hourly
2003-10-27,12,9,39,0,hourly
2003-10-27,13,9,39,0,hourly
2003-10-27,14,9,39,0,hourly
2003-10-27,15,9,39,0,hourly
2003-10-27,16,9,39,0,hourly
2003-10-27,17,9,39,0,hourly
2003-10-27,18,9,39,0,hourly
2003-10-27,19,9,39,0,hourly
2003-10-27,20,9,39,0,hourly
2003-10-27,21,9,39,0,hourly
2003-10-27,22,9,39,0,hourly
2003-10-27,23,9,39,0,hourly
2003-10-27,,216,936,0,daily_total
