date,total_bursts,total_raw_groups,total_samples,bursts_h00,bursts_h01,bursts_h02,bursts_h03,bursts_h04,bursts_h05,bursts_h06,bursts_h07,bursts_h08,bursts_h09,bursts_h10,bursts_h11,bursts_h12,bursts_h13,bursts_h14,bursts_h15,bursts_h16,bursts_h17,bursts_h18,bursts_h19,bursts_h20,bursts_h21,bursts_h22,bursts_h23,raw_h00,raw_h01,raw_h02,raw_h03,raw_h04,raw_h05,raw_h06,raw_h07,raw_h08,raw_h09,raw_h10,raw_h11,raw_h12,raw_h13,raw_h14,raw_h15,raw_h16,raw_h17,raw_h18,raw_h19,raw_h20,raw_h21,raw_h22,raw_h23,samples_h00,samples_h01,samples_h02,samples_h03,samples_h04,samples_h05,samples_h06,samples_h07,samples_h08,samples_h09,samples_h10,samples_h11,samples_h12,samples_h13,samples_h14,samples_h15,samples_h16,samples_h17,samples_h18,samples_h19,samples_h20,samples_h21,samples_h22,samples_h23
1999-01-01,4,24,213248,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34341,36169,36166,36166,36174,34232,0,0,0,0,0,0,0,0,0,0
1999-01-02,3,5,213248,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34326,36165,36166,36168,36174,34249,0,0,0,0,0,0,0,0,0,0
1999-01-03,4,38,213248,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,5,2,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34242,36070,36069,36067,36073,34727,0,0,0,0,0,0,0,0,0,0
1999-01-04,2,22,214272,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35170,36027,36027,36026,36030,34992,0,0,0,0,0,0,0,0,0,0
1999-01-05,2,8,214272,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,35926,35927,35928,35927,35931,34314,0,0,0,0,0,0,0,0,0,0
1999-01-06,2,8,213248,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34241,36065,36064,36062,36068,34748,0,0,0,0,0,0,0,0,0,0
1999-01-07,138,233,213248,0,0,0,0,0,0,0,0,0,38,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53,1,177,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34237,36069,36066,36065,36073,34738,0,0,0,0,0,0,0,0,0,0
1999-01-11,1784,3380,214272,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8,1,3367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16103,35932,35934,35933,35931,35942,18497,0,0,0,0,0,0,0,0,0
1999-01-12,1,6,224512,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36843,36894,36895,36893,36899,36897,3191,0,0,0,0,0,0,0,0,0
1999-01-13,4,8,224512,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36386,36447,36447,36446,36451,36451,5884,0,0,0,0,0,0,0,0,0
