date,total_bursts,total_raw_groups,total_samples,bursts_h00,bursts_h01,bursts_h02,bursts_h03,bursts_h04,bursts_h05,bursts_h06,bursts_h07,bursts_h08,bursts_h09,bursts_h10,bursts_h11,bursts_h12,bursts_h13,bursts_h14,bursts_h15,bursts_h16,bursts_h17,bursts_h18,bursts_h19,bursts_h20,bursts_h21,bursts_h22,bursts_h23,raw_h00,raw_h01,raw_h02,raw_h03,raw_h04,raw_h05,raw_h06,raw_h07,raw_h08,raw_h09,raw_h10,raw_h11,raw_h12,raw_h13,raw_h14,raw_h15,raw_h16,raw_h17,raw_h18,raw_h19,raw_h20,raw_h21,raw_h22,raw_h23,samples_h00,samples_h01,samples_h02,samples_h03,samples_h04,samples_h05,samples_h06,samples_h07,samples_h08,samples_h09,samples_h10,samples_h11,samples_h12,samples_h13,samples_h14,samples_h15,samples_h16,samples_h17,samples_h18,samples_h19,samples_h20,samples_h21,samples_h22,samples_h23
2004-01-01,34,154,216011,0,0,0,0,0,0,0,0,26,0,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,2,2,4,12,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28178,35997,36003,35998,36004,35997,7834,0,0,0,0,0,0,0,0,0
2004-01-02,21,87,217805,0,0,0,0,0,0,0,0,2,3,0,2,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,5,1,4,4,6,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28172,35997,36003,35997,36003,35998,9635,0,0,0,0,0,0,0,0,0
2004-01-03,11,44,217810,0,0,0,0,0,0,0,0,0,1,1,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,1,3,6,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28178,36001,35995,35999,36003,35998,9636,0,0,0,0,0,0,0,0,0
2004-01-04,9,56,219605,0,0,0,0,0,0,0,0,5,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,2,4,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29972,35998,36002,35997,36004,35997,9635,0,0,0,0,0,0,0,0,0
2004-01-05,228,490,221415,0,0,0,0,0,0,0,0,156,1,1,6,2,37,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,4,12,18,13,90,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29981,35996,36002,35998,36006,35996,11436,0,0,0,0,0,0,0,0,0
2004-01-06,19,89,221409,0,0,0,0,0,0,0,0,7,1,1,1,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,11,1,1,10,8,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29973,35999,36004,35997,36003,35996,11437,0,0,0,0,0,0,0,0,0
2004-01-07,11,42,223204,0,0,0,0,0,0,0,0,0,1,5,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,15,2,1,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29972,35998,36003,36000,36003,35998,13230,0,0,0,0,0,0,0,0,0
2004-01-08,11,36,223211,0,0,0,0,0,0,0,0,0,1,6,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,1,6,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29972,36009,35992,35999,36002,35998,13239,0,0,0,0,0,0,0,0,0
2004-01-09,18,67,223198,0,0,0,0,0,0,0,0,0,0,1,0,1,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,12,33,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29962,36007,35995,36006,36001,35999,13228,0,0,0,0,0,0,0,0,0
2004-01-10,6,23,226809,0,0,0,0,0,0,0,0,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31772,35998,36002,35998,36002,35997,15040,0,0,0,0,0,0,0,0,0
2004-01-11,2,23,230408,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1,2,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33574,35997,36004,35996,35997,36008,16832,0,0,0,0,0,0,0,0,0
2004-01-12,7,16,230403,0,0,0,0,0,0,0,0,0,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33573,35996,36003,35998,36004,35997,16832,0,0,0,0,0,0,0,0,0
