date,total_bursts,total_raw_groups,total_samples,bursts_h00,bursts_h01,bursts_h02,bursts_h03,bursts_h04,bursts_h05,bursts_h06,bursts_h07,bursts_h08,bursts_h09,bursts_h10,bursts_h11,bursts_h12,bursts_h13,bursts_h14,bursts_h15,bursts_h16,bursts_h17,bursts_h18,bursts_h19,bursts_h20,bursts_h21,bursts_h22,bursts_h23,raw_h00,raw_h01,raw_h02,raw_h03,raw_h04,raw_h05,raw_h06,raw_h07,raw_h08,raw_h09,raw_h10,raw_h11,raw_h12,raw_h13,raw_h14,raw_h15,raw_h16,raw_h17,raw_h18,raw_h19,raw_h20,raw_h21,raw_h22,raw_h23,samples_h00,samples_h01,samples_h02,samples_h03,samples_h04,samples_h05,samples_h06,samples_h07,samples_h08,samples_h09,samples_h10,samples_h11,samples_h12,samples_h13,samples_h14,samples_h15,samples_h16,samples_h17,samples_h18,samples_h19,samples_h20,samples_h21,samples_h22,samples_h23
2003-01-01,4,7,210608,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27504,35997,35997,35999,36003,36002,3106,0,0,0,0,0,0,0,0,0
2003-01-02,4,7,210616,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27503,35999,35997,35996,36009,35996,3116,0,0,0,0,0,0,0,0,0
2003-01-04,15,55,214222,0,0,0,0,0,0,0,0,0,1,1,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29317,35997,35997,36001,36007,35997,4906,0,0,0,0,0,0,0,0,0
2003-01-05,6,13,214236,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29319,35999,36000,35998,35998,36006,4916,0,0,0,0,0,0,0,0,0
2003-01-07,11,56,217835,0,0,0,0,0,0,0,0,0,1,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,1,1,1,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31119,35997,36001,35995,36008,35998,6717,0,0,0,0,0,0,0,0,0
2003-01-08,5,32,217814,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,3,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31115,35998,35998,35995,36000,36005,6703,0,0,0,0,0,0,0,0,0
2003-01-16,13,27,226810,0,0,0,0,0,0,0,0,0,0,5,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34707,35997,35999,36006,35998,35996,12107,0,0,0,0,0,0,0,0,0
2003-01-19,7,23,235808,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4100,35998,35998,36001,35997,35999,36004,15711,0,0,0,0,0,0,0,0,0
2003-01-20,2,9,234013,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4100,35999,36001,35999,34204,36006,35999,15705,0,0,0,0,0,0,0,0,0
2003-01-21,13,38,239424,0,0,0,0,0,0,0,0,2,1,4,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,3,2,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5900,36003,35998,35998,36009,35998,35998,17520,0,0,0,0,0,0,0,0,0
